In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table, Breakfast. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table, Breakfast, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Enter, Put_something_on_table, Breakfast, Breakfast.Cut_bread, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast, Breakfast.Cut_bread, Breakfast.Cut_bread, Sit_down. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast, Breakfast.Cut_bread, Breakfast.Cut_bread, Sit_down, Breakfast.Spread_jam_or_butter. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Cut_bread, Sit_down, Breakfast.Spread_jam_or_butter, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Sit_down, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Sit_down, Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Cut_bread. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Spread_jam_or_butter, Put_something_on_table, Breakfast.Cut_bread, Breakfast.Cut_bread, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Put_something_on_table, Breakfast.Cut_bread, Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Cut_bread, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Take_something_off_table, Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the dining room performing an action. Previously, the person performed these actions before: Drink.From_cup, Put_something_on_table, Breakfast.Eat_at_table, Take_something_off_table, Drink.From_cup. The person is now performing a different action.
