In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Unknown. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook, Cook.Stir, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook, Cook.Stir, Cook.Use_oven, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook, Cook.Stir, Cook.Use_oven, Cook.Stir, Put_something_on_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Cook.Use_oven, Cook.Stir, Put_something_on_table, Clean_dishes.Clean_with_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Cook.Stir, Put_something_on_table, Clean_dishes.Clean_with_water, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Put_something_on_table, Clean_dishes.Clean_with_water, Clean_dishes, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Put_something_on_table, Clean_dishes.Clean_with_water, Clean_dishes, Use_Drawer, Take_something_off_table. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Clean_with_water, Clean_dishes, Use_Drawer, Take_something_off_table, Clean_dishes.Put_something_in_sink. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Use_Drawer, Take_something_off_table, Clean_dishes.Put_something_in_sink, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Take_something_off_table, Clean_dishes.Put_something_in_sink, Cook.Use_oven, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Take_something_off_table, Clean_dishes.Put_something_in_sink, Cook.Use_oven, Cook.Stir, Clean_dishes. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Put_something_in_sink, Cook.Use_oven, Cook.Stir, Clean_dishes, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Cook.Stir, Clean_dishes, Clean_dishes.Dry_up, Use_Drawer. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Stir, Clean_dishes, Clean_dishes.Dry_up, Use_Drawer, Clean_dishes.Dry_up. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes, Clean_dishes.Dry_up, Use_Drawer, Clean_dishes.Dry_up, Clean_dishes.Clean_with_water. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Use_Drawer, Clean_dishes.Dry_up, Clean_dishes.Clean_with_water, Cook.Use_oven. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_Drawer, Clean_dishes.Dry_up, Clean_dishes.Clean_with_water, Cook.Use_oven, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Dry_up, Clean_dishes.Clean_with_water, Cook.Use_oven, Use_fridge, Drink.From_can. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Clean_dishes.Clean_with_water, Cook.Use_oven, Use_fridge, Drink.From_can, Use_fridge. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Cook.Use_oven, Use_fridge, Drink.From_can, Use_fridge, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Drink.From_can, Use_fridge, Cook.Stir, Read. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Drink.From_can, Use_fridge, Cook.Stir, Read, Cook.Stir. The person is now performing a different action.
In the current scene there is an elderly person in the kitchen performing an action. Previously, the person performed these actions before: Use_fridge, Cook.Stir, Read, Cook.Stir, Clean_dishes. The person is now performing a different action.
